price,sqft_living
2950000.0,4860
1905000.0,4210
875000.0,1220
940000.0,1220
4000000.0,7080
5570000.0,9200
937500.0,1320
1160000.0,2680
1880000.0,2620
3418800.0,5450
1555000.0,2870
1398000.0,2640
1320000.0,2680
6885000.0,9890
865000.0,1530
1000000.0,2300
2100000.0,3550
2575000.0,4780
1712750.0,2660
787500.0,1580
1651000.0,3640
1800000.0,4460
1550000.0,2950
1762000.0,3060
1225000.0,2740
2750000.0,4430
1950000.0,4150
2200000.0,3570
1260000.0,3110
2450000.0,4670
3640900.0,4830
2271150.0,4040
1620000.0,2350
3710000.0,5550
1200000.0,2150
2500000.0,4300
2187730.0,4240
1450000.0,3090
1880000.0,3260
2458000.0,6500
1350000.0,2070
2680000.0,4290
1410000.0,3250
1920000.0,3070
3635000.0,5490
2720000.0,3990
1950000.0,4065
2250000.0,3410
2900000.0,5190
1865000.0,3790
